PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
06903053,NON-FOOD                  ,TOYS                      ,NATIONAL,N
06990748,NON-FOOD                  ,TOYS                      ,NATIONAL,N
00072756,FOOD                      ,DAIRY                     ,PRIVATE ,N
00077932,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084707,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084766,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084767,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084775,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084813,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084818,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084878,FOOD                      ,DAIRY                     ,PRIVATE ,N
00084917,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085038,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085040,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085041,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085062,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085359,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085385,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085386,FOOD                      ,DAIRY                     ,PRIVATE ,N
00085403,FOOD                      ,DAIRY                     ,PRIVATE ,N
00086181,FOOD                      ,DAIRY                     ,PRIVATE ,N
00086206,FOOD                      ,DAIRY                     ,PRIVATE ,N
00086215,FOOD                      ,DAIRY                     ,PRIVATE ,N
00086281,FOOD                      ,DAIRY                     ,PRIVATE ,N
00086334,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087393,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087437,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087578,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087580,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087591,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087592,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087647,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087667,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087712,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087869,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087928,FOOD                      ,DAIRY                     ,PRIVATE ,N
00087937,FOOD                      ,DAIRY                     ,PRIVATE ,N
00097506,FOOD                      ,DAIRY                     ,PRIVATE ,N
00100944,FOOD                      ,DAIRY                     ,PRIVATE ,N
02454209,FOOD                      ,DAIRY                     ,PRIVATE ,N
03813841,FOOD                      ,DAIRY                     ,PRIVATE ,N
04315099,FOOD                      ,DAIRY                     ,PRIVATE ,N
04417838,FOOD                      ,DAIRY                     ,PRIVATE ,N
04505430,FOOD                      ,DAIRY                     ,PRIVATE ,N
05107276,FOOD                      ,DAIRY                     ,PRIVATE ,N
05107277,FOOD                      ,DAIRY                     ,PRIVATE ,N
05229521,FOOD                      ,DAIRY                     ,PRIVATE ,N
05229523,FOOD                      ,DAIRY                     ,PRIVATE ,N
05443616,FOOD                      ,DAIRY                     ,PRIVATE ,N
05443619,FOOD                      ,DAIRY                     ,PRIVATE ,N
05721364,FOOD                      ,DAIRY                     ,PRIVATE ,N
05958134,FOOD                      ,DAIRY                     ,PRIVATE ,N
05959193,FOOD                      ,DAIRY                     ,PRIVATE ,N
05961331,FOOD                      ,DAIRY                     ,PRIVATE ,N
05982316,FOOD                      ,DAIRY                     ,PRIVATE ,N
06204150,FOOD                      ,DAIRY                     ,PRIVATE ,N
06726023,FOOD                      ,DAIRY                     ,PRIVATE ,N
00276795,FOOD                      ,DAIRY                     ,NATIONAL,N
00276911,FOOD                      ,DAIRY                     ,NATIONAL,N
00366273,FOOD                      ,DAIRY                     ,NATIONAL,N
00366275,FOOD                      ,DAIRY                     ,NATIONAL,N
00380535,FOOD                      ,DAIRY                     ,NATIONAL,N
00380555,FOOD                      ,DAIRY                     ,NATIONAL,N
00392734,FOOD                      ,DAIRY                     ,NATIONAL,N
00416498,FOOD                      ,DAIRY                     ,NATIONAL,N
00433449,FOOD                      ,DAIRY                     ,NATIONAL,N
00548897,FOOD                      ,DAIRY                     ,NATIONAL,N
00548898,FOOD                      ,DAIRY                     ,NATIONAL,N
00650808,FOOD                      ,DAIRY                     ,NATIONAL,N
00661082,FOOD                      ,DAIRY                     ,NATIONAL,N
00726540,FOOD                      ,DAIRY                     ,NATIONAL,N
00726545,FOOD                      ,DAIRY                     ,NATIONAL,N
00894244,FOOD                      ,DAIRY                     ,NATIONAL,N
00894256,FOOD                      ,DAIRY                     ,NATIONAL,N
00894272,FOOD                      ,DAIRY                     ,NATIONAL,N
